=== SINGLE-PASS EXPORT: Part 3 ===
  Ticks: 300000, Seed: 271
  Frame interval: every 4 ticks
  Timeline sample: every 100 ticks
  Config: spread=8.0, sensors=6ips, actions=3, max_age=15000
  Part 3 features: muscle_speed=True, bone_reach=True, seasons=True, kin_recognition=True, attack_dmg=15.0
  Output: C:\Users\shane\primordial\..\shaneconner-site\data\full-frames-p3

  Tick    1000: pop=175, species=39, gen=  6, frames=   250, events=  51, 21 t/s
  Tick  170000: pop=125, species=16, gen=173, frames= 42500, events=10946, 7 t/s
  Tick  171000: pop=178, species=30, gen=173, frames= 42750, events=10997, 7 t/s
  Tick  172000: pop=189, species=33, gen=173, frames= 43000, events=11047, 7 t/s
  Tick  173000: pop=174, species=28, gen=165, frames= 43250, events=11089, 7 t/s
  Tick  174000: pop=157, species=32, gen=163, frames= 43500, events=11140, 7 t/s
  Tick  175000: pop=178, species=21, gen=163, frames= 43750, events=11182, 7 t/s
  Tick  176000: pop=149, species=23, gen=163, frames= 44000, events=11222, 7 t/s
  Tick  177000: pop=138, species=18, gen=165, frames= 44250, events=11243, 7 t/s
  Tick  178000: pop=104, species=16, gen=163, frames= 44500, events=11269, 7 t/s
  Tick  179000: pop= 91, species=20, gen=162, frames= 44750, events=11296, 7 t/s
  Tick  180000: pop= 91, species=17, gen=165, frames= 45000, events=11313, 7 t/s
  Tick  181000: pop=114, species=20, gen=166, frames= 45250, events=11333, 7 t/s
  Tick  182000: pop= 99, species=18, gen=164, frames= 45500, events=11354, 7 t/s
  Tick  183000: pop=124, species=21, gen=164, frames= 45750, events=11380, 7 t/s
  Tick  184000: pop=159, species=18, gen=165, frames= 46000, events=11402, 7 t/s
  Tick  185000: pop=146, species=18, gen=167, frames= 46250, events=11424, 7 t/s
  Tick  186000: pop=120, species=22, gen=166, frames= 46500, events=11444, 7 t/s
  Tick  187000: pop= 93, species=15, gen=165, frames= 46750, events=11464, 7 t/s
  Tick  188000: pop= 89, species=12, gen=164, frames= 47000, events=11473, 7 t/s
  Tick  189000: pop= 77, species=15, gen=165, frames= 47250, events=11492, 7 t/s
  Tick  190000: pop=122, species=13, gen=164, frames= 47500, events=11498, 7 t/s
  Tick  191000: pop=148, species=16, gen=164, frames= 47750, events=11522, 7 t/s
  Tick  192000: pop=163, species=21, gen=164, frames= 48000, events=11542, 7 t/s
  Tick  193000: pop=173, species=25, gen=165, frames= 48250, events=11570, 7 t/s
  Tick  194000: pop=123, species=14, gen=165, frames= 48500, events=11590, 7 t/s
  Tick  195000: pop=101, species=17, gen=166, frames= 48750, events=11603, 7 t/s
  Tick  196000: pop= 98, species=14, gen=166, frames= 49000, events=11623, 7 t/s
